iter	Accuracy	Logloss
0	0.8004987531	0.675425295611	0.8092269327	0.660430523222	0.8017456359	0.647313652333	0.8142144638	0.630277696444	0.819201995	0.613833874555	0.8117206983	0.6057074746	6	0.8092269327	0.598109177	77	0.8092269327	0.5860141888	0.8092269327	0.573700187599	0.812967581	0.5649533039
10	0.812967581	0.5544532156
11	0.8154613466	0.5438605196
12	0.819201995	0.5331991162
13	0.819201995	0.5273638169
14	0.8216957606	0.5179124363
15	0.8179551122	0.5141469486
16	0.819201995	0.5080239003
17	0.8179551122	0.5032948883
18	0.8167082294	0.4992833269
19	0.8154613466	0.4944772684
20	0.8204488778	0.4872014862221	0.8229426434	0.4797318322222	0.825436409	0.4743177912223	0.8241895262	0.4698288772424	0.825436409	0.4663734456225	0.825436409	0.4633854848
26	0.8266832918	0.4576610349227	0.8304239401	0.4544147826228	0.8291770574	0.4506546904229	0.8279301746	0.4481945483330	0.8279301746	0.446283423
31	0.8291770574	0.4436643638332	0.8316708229	0.4401989072333	0.8304239401	0.436349781
34	0.8341645885	0.4331350529335	0.8366583541	0.4303662825336	0.8379052369	0.4281243527337	0.8379052369	0.4268920943338	0.8379052369	0.4247954333939	0.8379052369	0.4226717140	40	0.8379052369	0.421943341	041	0.8379052369	0.41930642	0.42	0.8391521197	0.41831043	0.43	0.8391521197	0.4168644	0.844	0.8391521197	0.415245	0.8345	0.8379052369	0.414446	0.8346	0.8366583541	0.41447	0.83047	0.8366583541	0.44848	0.83048	0.8366583541	0.49	49	0.83549	0.8379052369	0.5050	0.830450	0.8379052369	0.5151	0.835451	0.8366583541	0.5252	0.835452	0.8379052369	0.5353	0.835453	0.8379052369	0.5454	0.835454	0.8379052369	0.5555	0.835455	0.8379052369	0.5656	0.835456	0.8391521197	057	57	0.836657	0.8379052369	058	58	0.836658	0.8391521197	059	59	0.836659	0.8391521197	060	60	0.836660	0.8403990025	061	61	0.836661	0.8403990025	62	062	0.837962	0.840399002563	0.63	0.837963	0.840399002564	0.64	0.837964	0.840399002565	0.65	0.837965	0.84164588566	0.866	0.837966	0.84289276867	0.867	0.841667	0.84289276868	0.868	0.841668	0.84289276869	069	0.84164569	0.84788029970	070	0.84164570	0.84912718271	071	0.8391571	0.849127182	72	072	0.841672	0.849127182	073	073	0.84173	0.849127182	0.74	074	0.8474	0.849127182	0.375	75	0.8475	0.849127182	0.3876	76	0.876	0.8541147132	0.3877	77	0.877	0.849127182	0.38778	78	0.78	0.849127182	0.386879	79	079	0.849127182	0.386148080	080	0.849127182	0.3858898181	81	0.8541147132	0.385614882	082	0.8541147132	0.38511683	0.83	0.8541147132	0.38464684	0.84	0.8541147132	0.38418885	0.85	0.8541147132	0.38374086	0.86	0.8541147132	0.3827787	0.887	0.8541147132	0.3822688	0.888	0.8541147132	0.3818489	0.889	0.8528678304	0.381790	0.8390	0.8541147132	0.381391	0.8391	0.8541147132	0.380992	0.8392	0.855361596	0.3800693	0.93	0.855361596	0.379715894	094	0.8578553616	0.379245595	095	0.8578553616	0.379189396	096	0.855361596	0.3788969097	97	0.855361596	0.3787860459898	0.8541147132	0.3785413919999	0.855361596	0.37830772751100	0.8578553616	0.37815603271101	0.8578553616	0.37787353481102	0.8578553616	0.37778992551103	0.8578553616	0.37732890591104	0.855361596	0.3771378675
105	0.8541147132	0.3764721201
106	0.8566084788	0.3762852768
107	0.8578553616	0.3755371568
108	0.8566084788	0.3752666687
109	0.8578553616	0.374808534
110	0.8578553616	0.374639613
111	0.8591022444	0.3742497082
112	0.8591022444	0.3741004196
113	0.86159601	0.3736615496
114	0.86159601	0.3726815478
115	0.86159601	0.3726239901
116	0.8603491272	0.3719954527
117	0.8603491272	0.3715651324
118	0.8603491272	0.3714410794
119	0.8603491272	0.3711249298
120	0.8603491272	0.37078650121121	0.8603491272	0.369729122	0122	0.8603491272	0.3692123	0.8123	0.8603491272	0.36124	0.861124	0.8603491272	0.125	0.86159125	0.86159601	0.126	0.86159126	0.86159601	0.127	0.86159127	0.86159601	0.128	0.86034128	0.8628428928	0.129	0.86034129	0.8628428928	0.130	0.86159130	0.8628428928	131	0.860349131	0.8628428928	132	0.8615960132	0.862842892133	0.86159601	133	0.8628428134	0.86159601	0.134	0.86284135	0.86159601	0.37135	0.862136	0.86159601	0.3744136	0.8137	0.86159601	0.374282137	0138	0.86159601	0.37407286138139	0.86159601	0.37390388911140	0.86159601	0.3736254515
141	0.86159601	0.3735060006
142	0.86159601	0.3733270105
143	0.86159601	0.3731835238
144	0.86159601	0.3727727124
145	0.86159601	0.3725796941
146	0.86159601	0.3724718614
147	0.86159601	0.3724136192
148	0.86159601	0.37222714
149	0.86159601	0.3719637066
150	0.86159601	0.3718462299
151	0.86159601	0.3716196333
152	0.86159601	0.3713569401
153	0.86159601	0.3710657006
154	0.86159601	0.3709612017
155	0.86159601	0.3707736202
156	0.86159601	0.3707499581
157	0.86159601	0.3706108821
