iter	Accuracy	Logloss
0	0.784676354	0.6559701413
1	0.7886393659	0.6229794477
2	0.8124174373	0.5923623353
3	0.8058124174	0.572905743
4	0.8058124174	0.5554855371
5	0.8044914135	0.5370151426
6	0.8058124174	0.5238749195
7	0.8058124174	0.5128480683
8	0.8071334214	0.4982964474
9	0.8110964333	0.4876226864
10	0.8137384412	0.4772261468
11	0.8177014531	0.4735420821
12	0.8190224571	0.4661582642
13	0.8190224571	0.4643795819
14	0.8177014531	0.4628808939
15	0.821664465	0.4550401278
16	0.821664465	0.4535196571
17	0.822985469	0.4485491435
18	0.8256274769	0.4413613858
19	0.8190224571	0.4357359527
20	0.8256274769	0.4334870201
21	0.822985469	0.4311569195
22	0.8256274769	0.4288499918
23	0.821664465	0.4274012277
24	0.820343461	0.4269005488
25	0.8243064729	0.4246455039
26	0.822985469	0.4242921334
27	0.8256274769	0.4230868327
28	0.8243064729	0.4226535757
29	0.8256274769	0.419983307
30	0.8243064729	0.4199262327
31	0.8256274769	0.4198844815
32	0.8269484808	0.4172154942
33	0.8243064729	0.4142889481
34	0.8256274769	0.4133147915
35	0.8256274769	0.4129693154
36	0.8256274769	0.412885217
37	0.8243064729	0.4097213644
38	0.8243064729	0.4092812122
39	0.8269484808	0.4072462261
40	0.8269484808	0.4061979954
41	0.8269484808	0.4057946649
42	0.8256274769	0.4039496424
43	0.8256274769	0.4038045947
44	0.8295904888	0.4019380688
45	0.8282694848	0.4008162152
46	0.8282694848	0.4005549238
47	0.8269484808	0.3990686554
48	0.8269484808	0.3990639007
49	0.8295904888	0.3986691926
50	0.8309114927	0.3983862193
51	0.8309114927	0.3982676068
52	0.8309114927	0.3979394586
53	0.8309114927	0.3968844788
54	0.8309114927	0.3966276262
55	0.8282694848	0.3960225274
56	0.8282694848	0.3959749607
57	0.8282694848	0.3951958319
58	0.8309114927	0.393699189
59	0.8309114927	0.3935444183
60	0.8322324967	0.3928777761
61	0.8322324967	0.3918414695
62	0.8322324967	0.3910619848
63	0.8335535007	0.3897350186
64	0.8348745046	0.3878132229
65	0.8348745046	0.3872274288
66	0.8348745046	0.3868618338
67	0.8348745046	0.3857323184
68	0.8348745046	0.3853969389
69	0.8361955086	0.3850701541
70	0.8361955086	0.3846189187
71	0.8361955086	0.384356324
72	0.8375165125	0.3834414908
73	0.8388375165	0.3791906362
74	0.8388375165	0.3791759002
75	0.8388375165	0.3791364908
76	0.8401585205	0.378665797
77	0.8361955086	0.3779369615
78	0.8361955086	0.3777173583
79	0.8361955086	0.3772233765
80	0.8348745046	0.3770624665
81	0.8348745046	0.377052482
82	0.8375165125	0.3761673818
83	0.8375165125	0.3750145757
84	0.8361955086	0.3745414067
85	0.8388375165	0.3729966225
86	0.8375165125	0.3726559364
87	0.8375165125	0.3723074555
88	0.8388375165	0.3713276824
89	0.8388375165	0.3702238498
90	0.8388375165	0.3694377641
91	0.8388375165	0.3694122022
92	0.8388375165	0.3688483129
93	0.8388375165	0.3687731425
94	0.8388375165	0.3686791242
95	0.8414795244	0.3674853983
96	0.8428005284	0.3658366568
97	0.8454425363	0.3638243514
98	0.8428005284	0.3635601621
99	0.8428005284	0.3635143281
100	0.8467635403	0.3629446661
101	0.8454425363	0.3626185102
102	0.8467635403	0.3622492045
103	0.8480845443	0.3608028072
104	0.8480845443	0.3606254658
105	0.8480845443	0.3605272436
106	0.8520475561	0.3579633347
107	0.8520475561	0.3578161695
108	0.8533685601	0.3558937499
109	0.8546895641	0.3554907417
110	0.8533685601	0.3546592252
111	0.8533685601	0.3545465036
112	0.8533685601	0.3542264622
113	0.8546895641	0.3537268907
114	0.857331572	0.3529570815
115	0.857331572	0.3514541643
116	0.856010568	0.3496709875
117	0.8599735799	0.3483447494
118	0.8599735799	0.3471195853
119	0.8612945839	0.3463568252
120	0.8612945839	0.345625034
121	0.8612945839	0.3444158717
122	0.8612945839	0.343528301
123	0.8599735799	0.3428225029
124	0.8626155878	0.3419980059
125	0.8626155878	0.3418206547
126	0.8626155878	0.3412089242
127	0.8639365918	0.3404247926
128	0.8639365918	0.3393244984
129	0.8665785997	0.3386760833
130	0.8678996037	0.3368824811
131	0.8678996037	0.3365581193
132	0.8678996037	0.3363575046
133	0.8665785997	0.3357750388
134	0.8665785997	0.3345019086
135	0.8678996037	0.3331291712
136	0.8678996037	0.3327633661
137	0.8665785997	0.3320774096
138	0.8718626156	0.3305250039
139	0.8718626156	0.3302348502
140	0.8731836196	0.3291123242
141	0.8718626156	0.3282121671
142	0.8705416116	0.3277984788
143	0.8692206077	0.3271331011
144	0.8731836196	0.3256409669
145	0.8731836196	0.324834429
146	0.8731836196	0.3244143912
147	0.8718626156	0.323724965
148	0.8731836196	0.3226157888
149	0.8745046235	0.3204246034
150	0.8745046235	0.3201312784
151	0.8758256275	0.3199683065
152	0.8771466314	0.31961926
153	0.8797886394	0.3190179069
154	0.8811096433	0.3187193062
155	0.8784676354	0.3180080434
156	0.8784676354	0.3177069812
157	0.8771466314	0.3168300887
158	0.8784676354	0.3166737433
159	0.8797886394	0.3163415977
160	0.8784676354	0.3149795818
161	0.8797886394	0.31472995
162	0.8797886394	0.3136392817
