iter	Passed	Remaining
0	26	26562
1	63	31696
2	109	36404
3	159	39804
4	188	37418
5	220	36452
6	245	34869
7	292	36267
8	343	37768
9	389	38529
10	439	39534
11	491	40475
12	545	41417
13	577	40647
14	602	39549
15	646	39789
16	675	39049
17	719	39236
18	769	39705
19	817	40067
20	866	40401
21	915	40686
22	956	40631
23	985	40061
24	1021	39822
25	1061	39764
26	1084	39080
27	1117	38782
28	1139	38157
29	1187	38396
30	1208	37765
31	1229	37190
32	1276	37410
33	1325	37659
34	1371	37806
35	1406	37668
36	1432	37273
37	1479	37463
38	1520	37467
39	1568	37651
40	1606	37573
41	1629	37178
42	1676	37304
43	1696	36867
44	1742	36979
45	1793	37203
46	1824	36992
47	1875	37199
48	1894	36771
49	1925	36578
50	1950	36299
51	1980	36105
52	2013	35976
53	2040	35753
54	2067	35522
55	2104	35472
56	2133	35293
57	2160	35090
58	2196	35034
59	2217	34734
60	2262	34821
61	2308	34925
62	2364	35167
63	2417	35362
64	2469	35525
65	2519	35659
66	2553	35561
67	2598	35614
68	2640	35626
69	2689	35729
70	2726	35675
71	2753	35492
72	2784	35360
73	2831	35431
74	2861	35296
75	2881	35032
76	2926	35079
77	2965	35059
78	3003	35015
79	3036	34919
80	3066	34791
81	3092	34619
82	3143	34734
83	3198	34874
84	3248	34969
85	3295	35019
86	3330	34950
87	3364	34864
88	3414	34949
89	3448	34866
90	3487	34837
91	3507	34616
92	3545	34582
93	3567	34380
94	3599	34291
95	3645	34325
96	3697	34424
97	3747	34488
98	3786	34464
99	3818	34368
100	3851	34284
101	3883	34189
102	3915	34103
103	3965	34161
104	4013	34207
105	4038	34058
106	4081	34063
107	4117	34005
108	4168	34073
109	4215	34106
110	4267	34179
111	4321	34259
112	4368	34288
113	4418	34343
114	4465	34365
115	4506	34339
116	4558	34406
117	4607	34441
118	4653	34452
119	4700	34470
120	4747	34489
121	4801	34552
122	4847	34563
123	4896	34592
124	4944	34611
125	4996	34656
126	5055	34749
127	5108	34802
128	5160	34842
129	5210	34872
130	5259	34887
131	5307	34902
132	5347	34862
133	5404	34929
134	5457	34971
135	5506	34980
136	5557	35009
137	5609	35039
138	5656	35038
139	5715	35108
140	5761	35097
141	5802	35058
142	5850	35059
143	5898	35065
144	5967	35186
145	6026	35251
146	6074	35247
147	6115	35206
148	6161	35190
149	6207	35178
150	6254	35164
151	6304	35174
152	6348	35145
153	6415	35241
154	6474	35298
155	6529	35324
156	6578	35325
157	6623	35295
158	6663	35244
159	6713	35245
160	6760	35228
161	6808	35218
162	6853	35193
163	6906	35208
164	6957	35209
165	7006	35201
166	7056	35197
167	7100	35166
168	7140	35111
169	7186	35086
170	7229	35049
171	7276	35030
172	7316	34975
173	7356	34921
174	7410	34936
175	7466	34958
176	7535	35039
177	7581	35009
178	7635	35020
179	7681	34995
180	7733	34990
181	7783	34985
182	7827	34945
183	7888	34981
184	7938	34974
185	7991	34973
186	8049	34994
187	8102	34993
188	8148	34963
189	8198	34953
190	8251	34951
191	8300	34931
192	8351	34920
193	8371	34781
194	8433	34814
195	8486	34810
196	8541	34817
197	8593	34808
198	8640	34781
199	8690	34762
200	8728	34697
201	8774	34663
202	8822	34636
203	8868	34602
204	8914	34572
205	8960	34535
206	9000	34479
207	9048	34453
208	9098	34434
209	9144	34399
210	9191	34369
211	9239	34341
212	9292	34335
213	9338	34299
214	9393	34296
215	9446	34287
216	9497	34271
217	9547	34248
218	9596	34222
219	9642	34185
220	9683	34131
221	9730	34101
222	9773	34054
223	9814	34001
224	9877	34023
225	9930	34008
226	9979	33982
227	10026	33948
228	10076	33925
229	10127	33904
230	10179	33886
231	10227	33856
232	10274	33820
233	10320	33785
234	10373	33770
235	10436	33784
236	10486	33760
237	10539	33743
238	10584	33703
239	10634	33675
240	10688	33662
241	10739	33638
242	10786	33601
243	10835	33570
244	10880	33528
245	10931	33506
246	10978	33470
247	11030	33446
248	11083	33429
